Title,Authors,Publication Year,Publication Link,Authors Profile
"City, Public Space and Body: The Embodied Experience of Urban Life","Alami Fariman, M. (ed.)",2025,https://pureportal.coventry.ac.uk/en/publications/city-public-space-and-body-the-embodied-experience-of-urban-life,https://pureportal.coventry.ac.uk/en/persons/mahsa-alami-fariman
A 12-Step Asynchronous PWM Scheme for High-Speed Brushless DC Drives With Commutation Compensation,"Wang, L.",30 Jan 2024,https://pureportal.coventry.ac.uk/en/publications/a-12-step-asynchronous-pwm-scheme-for-high-speed-brushless-dc-dri,https://pureportal.coventry.ac.uk/en/persons/lu-wang
Abandoned and Appropriated Homes: The live-work spaces of artists in East London,"Saarinen, H.",11 Jan 2024,https://pureportal.coventry.ac.uk/en/publications/abandoned-and-appropriated-homes-the-live-work-spaces-of-artists-,https://pureportal.coventry.ac.uk/en/persons/heidi-saarinen
A cog in the capitalist wheel: Co-opting agroecology in South India,"Pimbert, M.",23 Jan 2024,https://pureportal.coventry.ac.uk/en/publications/a-cog-in-the-capitalist-wheel-co-opting-agroecology-in-south-indi,https://pureportal.coventry.ac.uk/en/persons/michel-pimbert
A comprehensive framework for the sustainability indicators in the textile industry of developing countries,"Zarei, H.",Mar 2024,https://pureportal.coventry.ac.uk/en/publications/a-comprehensive-framework-for-the-sustainability-indicators-in-th,https://pureportal.coventry.ac.uk/en/persons/hossein-zarei
Adult age differences in risk perception and risk taking,"Hanoch, Y.",Feb 2024,https://pureportal.coventry.ac.uk/en/publications/adult-age-differences-in-risk-perception-and-risk-taking,https://pureportal.coventry.ac.uk/en/persons/yaniv-hanoch
A international cross-sectional study examining knowledge and attitudes towards sport-related concussion in Touch,"Oxford, S. W.",1 Mar 2024,https://pureportal.coventry.ac.uk/en/publications/a-international-cross-sectional-study-examining-knowledge-and-att,https://pureportal.coventry.ac.uk/en/persons/sam-oxford
Albert Venn Dicey: Writings on democracy and the referendum,"Qvortrup, M.",1 Jan 2024,https://pureportal.coventry.ac.uk/en/publications/albert-venn-dicey-writings-on-democracy-and-the-referendum,https://pureportal.coventry.ac.uk/en/persons/matt-qvortrup
A low-temperature ammonia electrolyser for wastewater treatment and hydrogen production,"Latvyte, E.,Lan, R.,Graves, J.",2 Jan 2024,https://pureportal.coventry.ac.uk/en/publications/a-low-temperature-ammonia-electrolyser-for-wastewater-treatment-a,https://pureportal.coventry.ac.uk/en/persons/egle-latvyte
A machine learning based optimisation method to evaluate the crushing behaviours of square tubes with rectangular-hole-type initiators,"Bastien, C.",2024,https://pureportal.coventry.ac.uk/en/publications/a-machine-learning-based-optimisation-method-to-evaluate-the-crus,https://pureportal.coventry.ac.uk/en/persons/christophe-bastien
A Monte Carlo-based approach for the evaluation of Mexico's geothermal potential,"Koon-Koon, R.",Mar 2024,https://pureportal.coventry.ac.uk/en/publications/a-monte-carlo-based-approach-for-the-evaluation-of-mexicos-geothe,https://pureportal.coventry.ac.uk/en/persons/randy-koon-koon
Analyzing public discourse on photovoltaic (PV) adoption in Indonesia: A topic-based sentiment analysis of news articles and social media,"Beltran, M.",1 Jan 2024,https://pureportal.coventry.ac.uk/en/publications/analyzing-public-discourse-on-photovoltaic-pv-adoption-in-indones,https://pureportal.coventry.ac.uk/en/persons/macarena-beltran
